"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2019 GO4)","2019-Apr-13 08:07 ± < 00:01","5.02 | 0.01289","5.02 | 0.01289","23.53","23.52","25.2","24 m -   54 m","bK19G04O"
"(2019 FO1)","2019-Apr-13 14:52 ± < 00:01","14.27 | 0.03666","14.22 | 0.03655","9.69","9.68","25.4","22 m -   49 m","bK19F01O"
"(2019 FH1)","2019-Apr-13 15:04 ± < 00:01","17.94 | 0.04609","17.92 | 0.04605","3.76","3.74","25.3","23 m -   52 m","bK19F01H"
"(2019 HM)","2019-Apr-13 20:34 ± < 00:01","8.33 | 0.02140","8.33 | 0.02140","3.01","2.97","25.9","18 m -   39 m","bK19H00M"
"(2019 GN4)","2019-Apr-13 22:20 ± < 00:01","7.32 | 0.01881","7.32 | 0.01881","18.33","18.32","24.7","31 m -   68 m","bK19G04N"
"(2019 GL23)","2019-Apr-14 00:23 ±    00:40","8.02 | 0.02061","7.88 | 0.02024","7.04","7.02","27.5","8.4 m -   19 m","bK19G23L"
"(2019 GL21)","2019-Apr-14 11:50 ± < 00:01","18.54 | 0.04765","18.42 | 0.04732","12.01","12.01","24.9","28 m -   62 m","bK19G21L"
"(2019 GW20)","2019-Apr-16 10:27 ± < 00:01","3.39 | 0.00872","3.38 | 0.00869","13.55","13.53","27.5","8.4 m -   19 m","bK19G20W"
"(2019 GR20)","2019-Apr-16 19:28 ± < 00:01","10.95 | 0.02813","10.88 | 0.02797","9.66","9.65","26.6","13 m -   28 m","bK19G20R"
"(2019 HY3)","2019-Apr-17 14:54 ±    00:01","19.45 | 0.04997","19.37 | 0.04977","5.88","5.87","25.7","19 m -   43 m","bK19H03Y"
"(2019 GC6)","2019-Apr-18 06:41 ± < 00:01","0.57 | 0.00146","0.57 | 0.00146","5.62","5.29","26.5","13 m -   30 m","bK19G06C"
"(2012 XO134)","2019-Apr-18 16:10 ± < 00:01","14.74 | 0.03788","14.74 | 0.03788","10.95","10.95","24.0","42 m -   94 m","bK12XD4O"
"(2019 FN2)","2019-Apr-18 17:38 ± < 00:01","4.04 | 0.01037","4.04 | 0.01037","7.74","7.71","23.7","48 m -  110 m","bK19F02N"
"(2019 HH3)","2019-Apr-18 19:53 ±    00:04","12.77 | 0.03281","12.71 | 0.03267","12.06","12.05","25.5","21 m -   47 m","bK19H03H"
"522684 (2016 JP)","2019-Apr-19 11:13 ± < 00:01","18.97 | 0.04875","18.97 | 0.04875","11.50","11.50","21.1","160 m -  360 m","a0522684"
"(2019 HQ2)","2019-Apr-19 11:31 ± < 00:01","15.42 | 0.03962","15.35 | 0.03944","15.42","15.41","24.7","31 m -   68 m","bK19H02Q"
"(2019 HE)","2019-Apr-20 21:12 ± < 00:01","0.58 | 0.00150","0.58 | 0.00149","12.18","12.03","26.7","12 m -   27 m","bK19H00E"
"(2019 GZ3)","2019-Apr-20 23:26 ±    00:02","10.02 | 0.02576","9.91 | 0.02547","14.20","14.19","26.0","17 m -   38 m","bK19G03Z"
"(2019 GM)","2019-Apr-21 04:14 ± < 00:01","19.34 | 0.04969","19.28 | 0.04953","10.36","10.35","24.8","29 m -   65 m","bK19G00M"
"(2014 HC177)","2019-Apr-22 12:48 ± < 00:01","11.72 | 0.03012","11.72 | 0.03012","9.56","9.55","25.1","25 m -   57 m","bK14HH7C"
"(2019 FV2)","2019-Apr-22 16:29 ± < 00:01","15.59 | 0.04005","15.59 | 0.04005","2.28","2.26","24.9","28 m -   62 m","bK19F02V"
"(2019 HA4)","2019-Apr-23 02:20 ±    00:02","3.42 | 0.00879","3.41 | 0.00877","12.06","12.03","25.9","18 m -   39 m","bK19H04A"
"(2019 HF4)","2019-Apr-23 06:31 ± < 00:01","3.09 | 0.00795","3.08 | 0.00792","6.41","6.36","27.6","8.0 m -   18 m","bK19H04F"
"(2019 GM4)","2019-Apr-23 10:38 ± < 00:01","9.09 | 0.02336","9.09 | 0.02335","8.42","8.40","23.6","51 m -  110 m","bK19G04M"
"(2016 KR3)","2019-Apr-23 18:59 ± < 00:01","18.68 | 0.04800","18.68 | 0.04800","20.61","20.61","20.9","180 m -  390 m","bK16K03R"
"(2019 HR2)","2019-Apr-24 00:05 ± < 00:01","1.29 | 0.00330","1.28 | 0.00330","8.56","8.47","28.9","4.4 m -  9.9 m","bK19H02R"
"(2019 JG2)","2019-Apr-24 10:14 ±    00:22","17.03 | 0.04377","16.79 | 0.04314","16.83","16.83","24.8","29 m -   65 m","bK19J02G"
"(2019 HT2)","2019-Apr-24 11:54 ±    00:02","16.05 | 0.04124","15.94 | 0.04097","6.10","6.09","25.8","18 m -   41 m","bK19H02T"
"(2019 JE2)","2019-Apr-24 16:47 ±    00:11","9.62 | 0.02473","9.49 | 0.02438","11.10","11.09","25.7","19 m -   43 m","bK19J02E"
"(2019 HQ)","2019-Apr-24 17:38 ± < 00:01","3.03 | 0.00778","3.02 | 0.00777","8.13","8.09","26.2","15 m -   34 m","bK19H00Q"
"(2019 HS3)","2019-Apr-24 23:49 ± < 00:01","2.98 | 0.00765","2.95 | 0.00758","26.88","26.86","27.0","11 m -   24 m","bK19H03S"
"(2019 HS)","2019-Apr-25 10:23 ± < 00:01","4.25 | 0.01093","4.24 | 0.01091","7.16","7.12","27.2","9.7 m -   22 m","bK19H00S"
"(2019 JD6)","2019-Apr-26 01:51 ±    00:01","5.72 | 0.01470","5.72 | 0.01470","5.16","5.12","24.6","32 m -   71 m","bK19J06D"
"(2019 HU2)","2019-Apr-26 08:52 ± < 00:01","15.66 | 0.04024","15.48 | 0.03978","12.24","12.23","26.2","15 m -   34 m","bK19H02U"
"(2019 JP1)","2019-Apr-26 10:28 ±    00:05","12.01 | 0.03085","11.87 | 0.03049","4.25","4.23","27.4","8.8 m -   20 m","bK19J01P"
"(2019 HN4)","2019-Apr-27 00:04 ± < 00:01","1.41 | 0.00361","1.40 | 0.00361","5.72","5.59","28.6","5.1 m -   11 m","bK19H04N"
"(2019 GF1)","2019-Apr-27 11:29 ± < 00:01","4.69 | 0.01205","4.69 | 0.01204","1.91","1.79","27.4","8.8 m -   20 m","bK19G01F"
"(2019 HS2)","2019-Apr-28 02:30 ± < 00:01","5.10 | 0.01310","5.07 | 0.01303","12.07","12.06","26.6","13 m -   28 m","bK19H02S"
"(2019 JO1)","2019-Apr-28 04:34 ± < 00:01","3.93 | 0.01011","3.91 | 0.01005","18.00","17.99","27.2","9.7 m -   22 m","bK19J01O"
"(2019 GX5)","2019-Apr-28 07:15 ± < 00:01","7.15 | 0.01837","7.11 | 0.01826","10.65","10.63","25.5","21 m -   47 m","bK19G05X"
"(2019 HP3)","2019-Apr-28 19:46 ± < 00:01","13.98 | 0.03593","13.94 | 0.03582","5.77","5.76","25.7","19 m -   43 m","bK19H03P"
"(2019 JJ)","2019-Apr-28 20:28 ± < 00:01","2.03 | 0.00522","2.02 | 0.00520","10.05","10.00","28.0","6.7 m -   15 m","bK19J00J"
"(2019 JF)","2019-Apr-29 08:55 ± < 00:01","9.78 | 0.02514","9.73 | 0.02501","20.94","20.93","23.7","48 m -  110 m","bK19J00F"
"(2019 HN3)","2019-Apr-29 14:39 ± < 00:01","6.43 | 0.01652","6.42 | 0.01649","8.08","8.06","24.0","42 m -   94 m","bK19H03N"
"(2019 JW1)","2019-Apr-29 17:34 ± < 00:01","1.74 | 0.00448","1.74 | 0.00447","10.16","10.10","26.2","15 m -   34 m","bK19J01W"
"(2019 JS1)","2019-Apr-29 20:44 ±    00:04","18.95 | 0.04870","18.82 | 0.04837","5.30","5.29","25.4","22 m -   49 m","bK19J01S"
"(2019 JK)","2019-Apr-30 08:12 ± < 00:01","0.69 | 0.00178","0.69 | 0.00178","17.91","17.82","28.0","6.7 m -   15 m","bK19J00K"
"(2019 JR2)","2019-Apr-30 15:14 ±    00:01","2.29 | 0.00588","2.28 | 0.00585","13.52","13.49","27.1","10 m -   23 m","bK19J02R"
"(2019 HM3)","2019-Apr-30 17:16 ± < 00:01","6.25 | 0.01605","6.23 | 0.01600","5.21","5.18","27.0","11 m -   24 m","bK19H03M"
"(2019 JH)","2019-Apr-30 20:37 ± < 00:01","1.23 | 0.00315","1.22 | 0.00314","31.63","31.61","26.3","15 m -   33 m","bK19J00H"
"(2019 HO3)","2019-May-01 10:17 ± < 00:01","13.71 | 0.03522","13.69 | 0.03518","18.63","18.63","23.6","51 m -  110 m","bK19H03O"
"(2019 JY1)","2019-May-01 15:00 ± < 00:01","2.94 | 0.00755","2.92 | 0.00752","6.58","6.52","28.2","6.1 m -   14 m","bK19J01Y"
"(2019 HK)","2019-May-01 19:36 ± < 00:01","12.70 | 0.03264","12.63 | 0.03245","12.86","12.86","24.2","38 m -   86 m","bK19H00K"
"(2019 HW3)","2019-May-01 22:56 ± < 00:01","15.92 | 0.04091","15.85 | 0.04073","8.64","8.63","25.0","27 m -   59 m","bK19H03W"
"(2019 JU1)","2019-May-02 02:38 ± < 00:01","7.44 | 0.01912","7.40 | 0.01901","8.08","8.06","24.6","32 m -   71 m","bK19J01U"
"(2019 JU5)","2019-May-02 05:00 ± < 00:01","9.40 | 0.02416","9.40 | 0.02416","5.51","5.49","24.0","42 m -   94 m","bK19J05U"
"(2019 HM4)","2019-May-02 08:36 ± < 00:01","8.37 | 0.02150","8.34 | 0.02144","7.93","7.92","26.5","13 m -   30 m","bK19H04M"
"(2019 JV1)","2019-May-02 11:24 ± < 00:01","9.53 | 0.02450","9.50 | 0.02442","17.62","17.62","22.9","70 m -  160 m","bK19J01V"
